ind,Input.text,Answer.judgement.label,Answer.judgement.score,group,multi_annotation
815,alternating between facetious comic parody and pulp melodrama  this smart-aleck movie . . . tosses around some intirguing questions about the difference between human and android life .,Probably altered by a computer,4,pruthi,FALSE
816,blithely  the film  which skirts that rapidly deteriorating line between fantasy and reality . . . takes a tongue-in-cheek behavior even as it pushes the croc hunter agenda .,Probably written by a human with no computer alteration,2,alzantot,FALSE
817,a movie that's about as domineering and over-the-top as the family it depicts .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
818,the movie itself is far from disappointing  offered an original take on courtroom film  a few nifty kinks that are so crucial to the genre and another first-rate performance by top-billed star bruce willis .,Probably written by a human with no computer alteration,2,alzantot,FALSE
819,a tenuous framework upon which to hang broad  gently fleshed-out characters that seem to have been conjured up only 10 minutes prior to photographic .,Probably written by a human with no computer alteration,2,alzantot,FALSE
820,if reno is to the left of liberal on the political spectrum  her stiff  droll  rather disorganized show isn't subversive so much as it is nit-picky about the hypocrisies of our time .,Probably written by a human with no computer alteration,2,alzantot,FALSE
821,the story wraps back around on itself in the kind of elegant symmetry that's rare in film today  but be warned : it's a sluggish slog to get there .,Probably written by a human with no computer alteration,2,alzantot,FALSE
822,ensemble movies  like soap operas  depend on compassionate . if there ain't none  you have a question .,Probably written by a human with no computer alteration,2,alzantot,FALSE
823,a sleek advert for youthful anomie that never rather equals the sum of its pretensions .,Probably written by a human with no computer alteration,2,textfooler,FALSE
824,only an epic documentary could get it all down  and spike lee's jim brown : all american at long last stipulates its subject a movie worthy of his talents .,Probably written by a human with no computer alteration,2,textfooler,FALSE
825,what john does is heroic  but we don't condone it   one of the film's stars recently said  a tortuous comments that perfectly illustrates the picture's moral psychiatry .,Probably written by a human with no computer alteration,2,textfooler,FALSE
826,sunshine state dearth the kind of dynamic that limbo offers  and in some ways is a rather indulgent piece .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
827,possession is dorothea barrett browning meets nancy drew  and it's directed by . . . neil labute . hmm .,Probably altered by a computer,4,textfooler,FALSE
828,a markedly idling film  city is conversational bordering on confessional .,Probably altered by a computer,4,textfooler,FALSE
829,an affectionately goofy prank that's unafraid to throw elbows when necessary . . .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
830,frida is not no disaster but the is it the kahlo movie frida fans have been looking for,Probably written by a human with no computer alteration,2,bae,FALSE
831,in between the icy stunts  the actors voke hilarious dialogue about following your dream and 'just letting the mountain tell you what to do . ',Probably altered by a computer,4,bae,FALSE
832,this remake gets all there is to get out of a peculiar premise with iche : al pacino loathing robin williams .,Uncertain whether original or altered by a computer,3,bae,FALSE
833,one of those decades-spanning historical epics that s to be intimate and socially encompassing but ne to do justice to the effort in three hours of screen time .,Very confident that it is altered by a computer,5,bae,FALSE
834,eric byler's face pic avoids easy sentiments and explanations . . .,Probably altered by a computer,4,bae,FALSE
835,a last t juiced with enough energy and pired for at least three films .,Probably altered by a computer,4,bae,FALSE
836,one thing you have to give them credit for : the message of the movie is tarian with the messages espoused in the company's previous video work .,Probably altered by a computer,4,bae,FALSE
850,it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,Probably altered by a computer,4,orig,FALSE
851,my wife is an actress is an utterly charming french comedy that feels so american in sensibility and style it's virtually its own hollywood remake .,Probably written by a human with no computer alteration,2,orig,FALSE
852,more vaudeville show than well-constructed narrative  but on those terms it's inoffensive and actually rather sweet .,Very confident that written by a human with no computer alteration,1,orig,FALSE
853,it has the requisite faux-urban vibe and hotter-two-years-ago rap and r&b names and references .,Probably altered by a computer,4,orig,FALSE
854,rather than real figures  elling and kjell bjarne become symbolic characters whose actions are supposed to relate something about the naÃƒÂƒÃ‚Â¯f's encounter with the world .,Very confident that it is altered by a computer,5,orig,FALSE
855,this is more fascinating -- being real -- than anything seen on jerry springer .,Probably altered by a computer,4,orig,FALSE
856,a dream cast of solid female talent who build a seamless ensemble . there isn't a weak or careless performance amongst them .,Probably written by a human with no computer alteration,2,orig,FALSE
857,alternating between facetious comic parody and pulp melodrama  this smart-aleck movie . . . tosses around some intriguing questions about the difference between human and android life .,Probably altered by a computer,4,orig,FALSE
858,thankfully  the film  which skirts that rapidly deteriorating line between fantasy and reality . . . tames a tongue-in-cheek attitude even as it pushes the croc hunter agenda .,Probably altered by a computer,4,pruthi,FALSE
859,a movie that's about as oveebearing and over-the-top as the family it depicts .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
860,the movie itself is far from disappointing  ofdering an original take on courtroom movies  a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis .,Probably written by a human with no computer alteration,2,pruthi,FALSE
861,a fargile framework upon which to hang broad  mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming .,Probably written by a human with no computer alteration,2,pruthi,FALSE
862,if reno is to the left of liberal on the political spectrum  her tough  fumny  rather chaotic show isn't subversive so much as it is nit-picky about the hypocrisies of our time .,Uncertain whether original or altered by a computer,3,pruthi,FALSE
863,the story wraps back around on itself in the kind of elegant symmetry that's rare in film today  but be waned : it's a slow slog to get there .,Probably altered by a computer,4,pruthi,FALSE
864,ensemble movies  like soap operas  depend on empathy . if there ain't none  you have a ptoblem .,Probably written by a human with no computer alteration,2,pruthi,FALSE
865,hugh grant's act is so consiming that sometimes it's difficult to tell who the other actors in the movie are .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
866,a sleek announcement for youthful anomie that never utterly equals the amount of its pretensions .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
867,only an epic documentary did get it all down  and spike lee's jim brown : all american at long last prescribes its matter a movie worthy of his talents .,Probably written by a human with no computer alteration,2,alzantot,FALSE
868,what john does is heroic  but we don't condone it   one of the film's stars recently said  a complex comment that perfectly illustrates the picture's moral schizophrenia .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
869,sunshine state lacks the type of dynamic that limbo offers  and in some ways is a pretty forgiving piece .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
870,possession is elizabeth barrett browning meets nancy telephoned  and it's directed by . . . neil labute . hmm .,Very confident that it is altered by a computer,5,alzantot,FALSE
871,a markedly idling film  city is conversational bordering on confessional .,Very confident that it is altered by a computer,5,alzantot,FALSE
872,an fondly goofy spelling that's unafraid to throw elbows when necessary . . .,Probably altered by a computer,4,alzantot,FALSE
873,frida is visibly no disaster but neither is it the kahlo stills freda fans have been looking for,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
874,in between the icy stunts  the actors nozzle hilarious dialogue about following your dream and 'just letting the mountain tell you what to do . ',Probably altered by a computer,4,textfooler,FALSE
875,this remake gets all there is to get out of a peculiar premise with promises : al pacino loathing robin williams .,Probably altered by a computer,4,textfooler,FALSE
876,one of those decades-spanning historical epics that strives to be intimate and socially encompassing but overlooking to do justice to either effort in three hours of screen time .,Probably altered by a computer,4,textfooler,FALSE
877,eric byler's qualified pic avoids easy sentiments and explanations . . .,Probably altered by a computer,4,textfooler,FALSE
878,a barbaric ride juiced with enough energy and excitement for at least three films .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
879,one thing you have to give them credit for : the messaging of the movie is continual with the messages espoused in the company's previous video work .,Probably written by a human with no computer alteration,2,textfooler,FALSE
880,no such thing is sort of a minimalist beauty and the beast  but in this case the beast should definitely get top billing . robert john burke as the monster horns in and odies the show .,Probably altered by a computer,4,bae,FALSE
881,creepy  authentic and dark . this disturbing bio-pic is utile to spense .,Probably written by a human with no computer alteration,2,bae,FALSE
882,the orious lead performances . . . keep the movie from ever reaching the comic heights it obviously desired .,Probably altered by a computer,4,bae,FALSE
883,the screenwriters dig themselves in dious every time they toss logic and science into what is essentially a  dungeons and dragons  fantasy with modern military weaponry . . .,Probably written by a human with no computer alteration,2,bae,FALSE
884,roger michell (  notting hill  ) is a morality thriller .,Probably altered by a computer,4,bae,FALSE
885,the first half bursts with a goofy d previous disney films only used for a few minutes here and there .,Probably written by a human with no computer alteration,2,bae,FALSE
886,spielberg's picture is smarter and subtler than [total recall and blade runner]  by its plot may prove too convoluted for fun-seeking summer audiences .,Very confident that it is altered by a computer,5,bae,FALSE
900,thankfully  the film  which skirts that rapidly deteriorating line between fantasy and reality . . . takes a tongue-in-cheek attitude even as it pushes the croc hunter agenda .,Probably written by a human with no computer alteration,2,orig,FALSE
901,a movie that's about as overbearing and over-the-top as the family it depicts .,Very confident that written by a human with no computer alteration,1,orig,FALSE
902,the movie itself is far from disappointing  offering an original take on courtroom movies  a few nifty twists that are so crucial to the genre and another first-rate performance by top-billed star bruce willis .,Very confident that written by a human with no computer alteration,1,orig,FALSE
903,a fragile framework upon which to hang broad  mildly fleshed-out characters that seem to have been conjured up only 10 minutes prior to filming .,Very confident that written by a human with no computer alteration,1,orig,FALSE
904,if reno is to the left of liberal on the political spectrum  her tough  funny  rather chaotic show isn't subversive so much as it is nit-picky about the hypocrisies of our time .,Probably written by a human with no computer alteration,2,orig,FALSE
905,the story wraps back around on itself in the kind of elegant symmetry that's rare in film today  but be warned : it's a slow slog to get there .,Very confident that written by a human with no computer alteration,1,orig,FALSE
906,ensemble movies  like soap operas  depend on empathy . if there ain't none  you have a problem .,Probably written by a human with no computer alteration,2,orig,FALSE
907,hugh grant's act is so consuming that sometimes it's difficult to tell who the other actors in the movie are .,Probably written by a human with no computer alteration,2,orig,FALSE
908,a sleek advert for youthful anomie that never quife equals the sum of its pretensions .,Probably written by a human with no computer alteration,2,pruthi,FALSE
909,only an epic documentary could get it all down  and spike lee's jim brown : all american at long last ggives its subject a movie worthy of his talents .,Very confident that it is altered by a computer,5,pruthi,FALSE
910,what john does is heroic  but we don't condone it   one of the film's stars recently said  a tortuous comjent that perfectly illustrates the picture's moral schizophrenia .,Probably altered by a computer,4,pruthi,FALSE
911,sunshine state lacs the kind of dynamic that limbo offers  and in some ways is a rather indulgent piece .,Uncertain whether original or altered by a computer,3,pruthi,FALSE
912,possession is elizabeth barrett browning meets nancy drew  and it's difected by . . . neil labute . hmm .,Probably altered by a computer,4,pruthi,FALSE
913,a markedly inctive film  city is conversational bordering on confessional .,Probably altered by a computer,4,pruthi,FALSE
914,an affectionately gooty satire that's unafraid to throw elbows when necessary . . .,Probably altered by a computer,4,pruthi,FALSE
915,the history is fascinating ; the action is dazzing . they just don't work in concert .,Probably written by a human with no computer alteration,2,pruthi,FALSE
916,frida is unquestionably no disasters but neither is it the kahlo cinematic frida lovers have been looking for,Probably written by a human with no computer alteration,2,alzantot,FALSE
917,in between the icy waterfalls  the actors spout hilarious dialogue about following your dream and 'just letting the mountain tell you what to do . ',Probably written by a human with no computer alteration,2,alzantot,FALSE
918,this remake gets all there is to get out of a peculiar premise with pledges : al pacino loathing robin williams .,Probably written by a human with no computer alteration,2,alzantot,FALSE
919,one of those decades-spanning historic epics that tries to be intimate and societal including but fails to do justice to neither attempt in three hours of screen time .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
920,eric byler's nuanced pic precludes easy sentiments and explanations . . .,Probably written by a human with no computer alteration,2,alzantot,FALSE
921,a wilderness ride juiced with adequate energy and agitation for at least three films .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
922,one thing you have to give them credit for : the voicemail of the movie is consistent with the messages espoused in the company's previous video work .,Probably written by a human with no computer alteration,2,alzantot,FALSE
923,no such thing is sort of a minimalist beauty and the beast  but in this case the beast should definitely get top billing . robert john burke as the monster horns in and swoops the show .,Probably written by a human with no computer alteration,2,textfooler,FALSE
924,creepy  authentic and dark . this disturbing bio-pic is fraught to forget .,Probably written by a human with no computer alteration,2,textfooler,FALSE
925,the salacious lead performances . . . keep the movie from ever reaching the comic heights it obviously desired .,Probably written by a human with no computer alteration,2,textfooler,FALSE
926,the screenwriters dig themselves in longest every time they toss logic and science into what is essentially a  dungeons and dragons  fantasy with modern military weaponry . . .,Probably written by a human with no computer alteration,2,textfooler,FALSE
927,roger michell (  notting hill  ) narrates a morality thriller .,Probably written by a human with no computer alteration,2,textfooler,FALSE
928,the first half bursts with a goofy energies previous disney films only used for a few minutes here and there .,Probably altered by a computer,4,textfooler,FALSE
929,spielberg's picture is wiser and plainer than [total recall and blade runner]  although its plot may prove too compound for fun-seeking summer audiences .,Probably altered by a computer,4,textfooler,FALSE
930,a brutally honest documentary about a ulously anticipated family reunion that goes wrong icted to culture shock and a refusal to empathize with h .,Probably altered by a computer,4,bae,FALSE
931,sure  it's more of the same  but as the film proves  that's not always a good thing .,Probably written by a human with no computer alteration,2,bae,FALSE
932,originality ain't on the menu  but there's not a udge moment in the giant spider invasion comic chiller .,Very confident that it is altered by a computer,5,bae,FALSE
933,the film is a travesty of the genre and even as spoof takes itself too es .,Probably altered by a computer,4,bae,FALSE
934,manages to be somewhat well-acted  not badly art-directed and utterly ughty no matter how hard it tries to be thrilling  touching or  yikes  uproarious .,Very confident that it is altered by a computer,5,bae,FALSE
935,that zhang would make such a strainingly cute film -- with a blind orphan at its center  no less -- indicates where his ambitions have Ã¡Â»Â… .,Very confident that it is altered by a computer,5,bae,FALSE
936,one big s movie where nothing really happens . when it comes out on video  then it's the perfect cure for insomnia .,Probably written by a human with no computer alteration,2,bae,FALSE
950,a sleek advert for youthful anomie that never quite equals the sum of its pretensions .,Probably written by a human with no computer alteration,2,orig,FALSE
951,only an epic documentary could get it all down  and spike lee's jim brown : all american at long last gives its subject a movie worthy of his talents .,Probably altered by a computer,4,orig,FALSE
952,what john does is heroic  but we don't condone it   one of the film's stars recently said  a tortuous comment that perfectly illustrates the picture's moral schizophrenia .,Probably written by a human with no computer alteration,2,orig,FALSE
953,sunshine state lacks the kind of dynamic that limbo offers  and in some ways is a rather indulgent piece .,Probably written by a human with no computer alteration,2,orig,FALSE
954,possession is elizabeth barrett browning meets nancy drew  and it's directed by . . . neil labute . hmm .,Probably altered by a computer,4,orig,FALSE
955,a markedly inactive film  city is conversational bordering on confessional .,Probably written by a human with no computer alteration,2,orig,FALSE
956,an affectionately goofy satire that's unafraid to throw elbows when necessary . . .,Probably written by a human with no computer alteration,2,orig,FALSE
957,the history is fascinating ; the action is dazzling . they just don't work in concert .,Probably written by a human with no computer alteration,2,orig,FALSE
958,frida is certainly no disaster but nether is it the kahlo movie frida fans have been looking for,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
959,in between the icy sunts  the actors spout hilarious dialogue about following your dream and 'just letting the mountain tell you what to do . ',Probably altered by a computer,4,pruthi,FALSE
960,this remake gets all there is to get out of a peculiar premise with pormise : al pacino loathing robin williams .,Probably written by a human with no computer alteration,2,pruthi,FALSE
961,one of those decades-spanning historical epics that strives to be intimate and socially encompassing but fxils to do justice to either effort in three hours of screen time .,Probably written by a human with no computer alteration,2,pruthi,FALSE
962,eric byler's nunaced pic avoids easy sentiments and explanations . . .,Probably written by a human with no computer alteration,2,pruthi,FALSE
963,a wipd ride juiced with enough energy and excitement for at least three films .,Probably altered by a computer,4,pruthi,FALSE
964,one thing you have to give them credit for : the message of the movie is conxistent with the messages espoused in the company's previous video work .,Uncertain whether original or altered by a computer,3,pruthi,FALSE
965,evwn when foreign directors . . . borrow stuff from hollywood  they invariably shake up the formula and make it more interesting .,Probably altered by a computer,4,pruthi,FALSE
966,no such thing is sort of a minimalist beauty and the beast  but in this case the beast should definitely get top billing . robert john perk as the monster horns in and steals the show .,Probably written by a human with no computer alteration,2,alzantot,FALSE
967,creepy  veritable and gloomy . this worrisome bio-pic is hard to forget .,Uncertain whether original or altered by a computer,3,alzantot,FALSE
968,the measly lead performances . . . keep the movie from ever reaching the hilarious heights it definitely desired .,Probably altered by a computer,4,alzantot,FALSE
969,the screenwriters digging themselves in deeper whole time they toss logic and science into what is basically a  dungeons and dragons  fantasy with modern military weaponry . . .,Probably altered by a computer,4,alzantot,FALSE
970,roger michell (  notting hill  ) directs a ethical thriller .,Probably altered by a computer,4,alzantot,FALSE
971,the first half bursts with a goofy energy beforehand disney films only used for a few minutes here and there .,Probably written by a human with no computer alteration,2,alzantot,FALSE
972,spielberg's picture is smarter and subtler than [total recall and blade runner]  but its plot may prove too convoluted for fun-seeking summer audiences .,Probably altered by a computer,4,alzantot,FALSE
973,a brutally franc documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,Probably written by a human with no computer alteration,2,textfooler,FALSE
974,sure  it's more of the same  but as the film proves  that's not always a negative thing .,Probably written by a human with no computer alteration,2,textfooler,FALSE
975,originality ain't on the menu  but there's never a uninspiring moment in the giant spider invasion comic chiller .,Probably written by a human with no computer alteration,2,textfooler,FALSE
976,the film is a travesty of the genre and even as spoof takes itself too pointedly .,Probably written by a human with no computer alteration,2,textfooler,FALSE
977,manages to be somewhat well-acted  not badly art-directed and utterly unengaging no problems how hard it tries to be thrilling  touching or  yikes  uproarious .,Uncertain whether original or altered by a computer,3,textfooler,FALSE
978,that zhang would make such a strainingly cute film -- with a blind orphan at its center  no less -- indicates where his ambitions have journeyed .,Probably altered by a computer,4,textfooler,FALSE
979,one big gusting movie where nothing really happens . when it comes out on video  then it's the perfect cure for insomnia .,Uncertain whether original or altered by a computer,3,textfooler,FALSE
980,a devastating st of unbridled greed and materalism .,Probably altered by a computer,4,bae,FALSE
981,allen's underestimated co delivers more goodies than lumps of coal .,Probably written by a human with no computer alteration,2,bae,FALSE
982,'film aficionados s help but love cinema paradiso  whether the original version or new director's cut . ',Probably written by a human with no computer alteration,2,bae,FALSE
983,if the message ing more facile than the earlier films  the images have such a terrible beauty you p not care .,Probably written by a human with no computer alteration,2,bae,FALSE
984,replacing john carpenter's stylish tracking shots is degraded  handheld blair witch video-cam footage . of all the halloween's  this is the most visually ative .,Uncertain whether original or altered by a computer,3,bae,FALSE
985,a flick about our infantilized culture that isn't entirely believable .,Probably written by a human with no computer alteration,2,bae,FALSE
986,a lot like the imaginary sport it projects onto the screen -- loud  violent and litz .,Probably altered by a computer,4,bae,FALSE
1000,frida is certainly no disaster but neither is it the kahlo movie frida fans have been looking for,Very confident that written by a human with no computer alteration,1,orig,FALSE
1001,in between the icy stunts  the actors spout hilarious dialogue about following your dream and 'just letting the mountain tell you what to do . ',Probably altered by a computer,4,orig,FALSE
1002,this remake gets all there is to get out of a peculiar premise with promise : al pacino loathing robin williams .,Very confident that it is altered by a computer,5,orig,FALSE
1003,one of those decades-spanning historical epics that strives to be intimate and socially encompassing but fails to do justice to either effort in three hours of screen time .,Very confident that written by a human with no computer alteration,1,orig,FALSE
1004,eric byler's nuanced pic avoids easy sentiments and explanations . . .,Very confident that written by a human with no computer alteration,1,orig,FALSE
1005,a wild ride juiced with enough energy and excitement for at least three films .,Very confident that written by a human with no computer alteration,1,orig,FALSE
1006,one thing you have to give them credit for : the message of the movie is consistent with the messages espoused in the company's previous video work .,Probably written by a human with no computer alteration,2,orig,FALSE
1007,even when foreign directors . . . borrow stuff from hollywood  they invariably shake up the formula and make it more interesting .,Probably altered by a computer,4,orig,FALSE
1008,no such thing is sort of a minimalist beauty and the beast  but in this case the beast should definitely get top billing . robert john burke as the monster horns in and strals the show .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
1009,creepy  authentic and dark . this disturbing bio-pic is hadd to forget .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
1010,the luosy lead performances . . . keep the movie from ever reaching the comic heights it obviously desired .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
1011,the screenwriters dig themselves in desper every time they toss logic and science into what is essentially a  dungeons and dragons  fantasy with modern military weaponry . . .,Probably written by a human with no computer alteration,2,pruthi,FALSE
1012,roger michell (  notting hill  ) directs a modality thriller .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
1013,the first half bursts with a goofy energy prevoous disney films only used for a few minutes here and there .,Probably written by a human with no computer alteration,2,pruthi,FALSE
1014,spielberg's picture is smarter and subtler than [total recall and blade runner]  althkugh its plot may prove too convoluted for fun-seeking summer audiences .,Probably altered by a computer,4,pruthi,FALSE
1015,it made me feel uncleGan  and i'm the guy who liked there's something about mary and both american pie movies . oh  and booty call .,Probably altered by a computer,4,pruthi,FALSE
1016,a brutally honest documents about a much anticipated family reunion that goes wrong thanks to culture shock and a refuses to commiserate with others .,Probably written by a human with no computer alteration,2,alzantot,FALSE
1017,sure  it's more of the same  but as the film proves  that's not always a wicked thing .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
1018,originality ain't on the menu  but there's never a tiresome moment in the giant spider invasion comic chiller .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
1019,the film is a travesty of the genus and even as faking takes itself too deeply .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
1020,manages to be rather well-acted  not sorely art-directed and utterly unengaging no matter how hard it strives to be exhilarating  affecting or  whoopsie  uproarious .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
1021,that zhang would make such a strainingly cute film -- with a blind orphan at its center  no less -- depicts where his ambitions have wandered .,Probably written by a human with no computer alteration,2,alzantot,FALSE
1022,one grand blustery movie where nothing really happens . when it comes out on video  then it's the perfect cure for insomnia .,Probably written by a human with no computer alteration,2,alzantot,FALSE
1023,a devastating allegation of unbridled greed and materalism .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1024,allen's underestimated attracting delivers more goodies than lumps of coal .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1025,'film aficionados cannot helping but cared cinema paradiso  whether the original version or new director's cut . ',Probably altered by a computer,4,textfooler,FALSE
1026,if the message seems more facile than the earlier films  the images have such a terrible belle you may not care .,Probably written by a human with no computer alteration,2,textfooler,FALSE
1027,replacing john carpenter's stylish tracking shots is degeneration  handheld blair witch video-cam footage . of all the halloween's  this is the most visually repellent .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1028,a flick about our infantilized cultivate that isn't entirely childlike .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1029,a lot like the imaginary sport it projects onto the screen -- loud  violent and unthinking .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1030,300 years of russian history and culture compressed into an less  seamless and sumptuous stream of consciousness .,Very confident that written by a human with no computer alteration,1,bae,FALSE
1031,blessed with a searing lead performance by ryan gosling ( murder by numbers )  the movie is powerful and provocative . it's also built on a rrogance premise  one it follows into melodrama and silliness .,Probably written by a human with no computer alteration,2,bae,FALSE
1032,the hook is the spense within the drama  as an unsolved murder and an unresolved moral conflict jockey for the dir .,Probably written by a human with no computer alteration,2,bae,FALSE
1033,the filmmaker ascends  literally  to the olympus of the art world  but he will have done well to end this flawed  dazzling series with the raising of something other than his own cremaster .,Very confident that written by a human with no computer alteration,1,bae,FALSE
1034,the aneous results make mel brooks' borscht belt schtick look sophisticated .,Very confident that written by a human with no computer alteration,1,bae,FALSE
1035,rehearsals are frequently more fascinating than the results . last dance  whatever its flaws  ways one facet of its mission in making me want to found out whether  in this case  that's true .,Very confident that written by a human with no computer alteration,1,bae,FALSE
1036,creeps you out in high tails  ever if nakata did it better .,Very confident that written by a human with no computer alteration,1,bae,FALSE
1050,no such thing is sort of a minimalist beauty and the beast  but in this case the beast should definitely get top billing . robert john burke as the monster horns in and steals the show .,Very confident that written by a human with no computer alteration,1,orig,FALSE
1051,creepy  authentic and dark . this disturbing bio-pic is hard to forget .,Probably written by a human with no computer alteration,2,orig,FALSE
1052,the lousy lead performances . . . keep the movie from ever reaching the comic heights it obviously desired .,Very confident that written by a human with no computer alteration,1,orig,FALSE
1053,the screenwriters dig themselves in deeper every time they toss logic and science into what is essentially a  dungeons and dragons  fantasy with modern military weaponry . . .,Very confident that written by a human with no computer alteration,1,orig,FALSE
1054,roger michell (  notting hill  ) directs a morality thriller .,Very confident that written by a human with no computer alteration,1,orig,FALSE
1055,the first half bursts with a goofy energy previous disney films only used for a few minutes here and there .,Probably written by a human with no computer alteration,2,orig,FALSE
1056,spielberg's picture is smarter and subtler than [total recall and blade runner]  although its plot may prove too convoluted for fun-seeking summer audiences .,Very confident that written by a human with no computer alteration,1,orig,FALSE
1057,it made me feel unclean  and i'm the guy who liked there's something about mary and both american pie movies . oh  and booty call .,Probably written by a human with no computer alteration,2,orig,FALSE
1058,a brutally hobest documentary about a much anticipated family reunion that goes wrong thanks to culture shock and a refusal to empathize with others .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
1059,sure  it's more of the same  but as the film proves  that's not always a bad tbing .,Probably written by a human with no computer alteration,2,pruthi,FALSE
1060,originality ain't on the menu  but there's nXever a dull moment in the giant spider invasion comic chiller .,Probably altered by a computer,4,pruthi,FALSE
1061,the film is a travesty of the genre and even as spolf takes itself too seriously .,Very confident that written by a human with no computer alteration,1,pruthi,FALSE
1062,manages to be somewhat well-acted  not badly art-directed and utterly uengaging no matter how hard it tries to be thrilling  touching or  yikes  uproarious .,Probably written by a human with no computer alteration,2,pruthi,FALSE
1063,that zhang would make such a strainingly cute film -- with a blind orphan at its center  no less -- inducates where his ambitions have wandered .,Probably written by a human with no computer alteration,2,pruthi,FALSE
1064,one big bljstery movie where nothing really happens . when it comes out on video  then it's the perfect cure for insomnia .,Probably written by a human with no computer alteration,2,pruthi,FALSE
1065,the stroy line may be 127 years old  but el crimen del padre amaro . . . couldn't be more timely in its despairing vision of corruption within the catholic establishment .,Probably written by a human with no computer alteration,2,pruthi,FALSE
1066,a ruinous indictment of unbridled greed and materalism .,Probably written by a human with no computer alteration,2,alzantot,FALSE
1067,allen's underestimated allure delivers more goodies than lumps of coal .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
1068,'film aficionados cannot help but adored movies paradiso  whether the initials version or new director's cut . ',Probably written by a human with no computer alteration,2,alzantot,FALSE
1069,if the message seems more facile than the earlier films  the images have such a appalling beauty you may not care .,Probably written by a human with no computer alteration,2,alzantot,FALSE
1070,replacing jon carpenter's elegantly tracking blows is debased  laptop blair magician video-cam imagery . of all the halloween's  this is the most visually unappealing .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
1071,a flick about our infantilized crop that isn't entirely kids .,Probably written by a human with no computer alteration,2,alzantot,FALSE
1072,a lot like the imaginary sport it projects onto the screen -- loud  violent and wanton .,Very confident that written by a human with no computer alteration,1,alzantot,FALSE
1073,300 annum of russian history and culture compressed into an evanescent  seamless and leggy torrents of consciousness .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1074,blessed with a searing lead performance by ryan gosling ( murder by numbers )  the movie is powerful and provocative . it's also built on a flawed premise  one it follows into melodrama and silliness .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1075,the hook is the melodrama within the drama  as an unsolved murder and an unresolved moral conflict jockey for the projector .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1076,the filmmaker ascends  literally  to the olympus of the art world  but he would have done well to ending this flawed  dazzling series with the raising of something other than his own cremaster .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1077,the campy accomplishments make mel brooks' borscht belt schtick look sophisticated .,Very confident that written by a human with no computer alteration,1,textfooler,FALSE
1078,rehearsals are frequently more fascinating than the raison . last dance  whatever its flaws  finishing one facet of its remit in doing me want to find out whether  in this case  that's true .,Probably written by a human with no computer alteration,2,textfooler,FALSE
1079,creeps you out in high design  even if nakata did it better .,Uncertain whether original or altered by a computer,3,textfooler,FALSE
1080,taymor lishing the idea of making kahlo's art a living  breathing part of the movie  often catapulting the artist into her own work . this isn't a new idea . it's been done before but never so vividly or with so much passion .,Very confident that written by a human with no computer alteration,1,bae,FALSE
1081,its gross-out gags and colorful set pieces . . . are of course stultifyingly contrived and too stylized by half . still  it ries the job done -- a sleepy afternoon rental .,Probably altered by a computer,4,bae,FALSE
1082,straightforward and old-fashioned in the best possible spect of both those words  possession is a movie that lates itself ously in the service of the lovers who inhabit it .,Very confident that written by a human with no computer alteration,1,bae,FALSE
1083,the movie should be credited with mizing his victims .,Probably written by a human with no computer alteration,2,bae,FALSE
